xx,SITE,OBS_YEAR,REGION,ISLAND,DATE_,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,SITEVISITID,EXCLUDE_FLAG,METHOD,SEC_NAME,HUMANS20,HUMANS200,TYPE,ANALYSIS_YEAR,ANALYSIS_STRATA,ANALYSIS_SEC,MPA_Name,MPA_Estab_Yr,Protection,TUT2012
1,AGR-0001,2009,MARIAN,Agrihan,5/2/09,Forereef,Mid,18.74818,145.6941,1963,0,nSPC,Agrihan,0,0,HAPHAZARD,2009,ForereefMid,Agrihan,NA,NA,NA,NA
2,AGR-0002,2009,MARIAN,Agrihan,5/2/09,Forereef,Mid,18.72673,145.66322,1964,0,nSPC,Agrihan,0,0,HAPHAZARD,2009,ForereefMid,Agrihan,NA,NA,NA,NA
3,AGR-0004,2009,MARIAN,Agrihan,5/3/09,Forereef,Mid,18.80747,145.64882,1970,0,nSPC,Agrihan,0,0,HAPHAZARD,2009,ForereefMid,Agrihan,NA,NA,NA,NA
4,AGR-0005,2009,MARIAN,Agrihan,5/3/09,Forereef,Mid,18.79245,145.63982,1971,0,nSPC,Agrihan,0,0,HAPHAZARD,2009,ForereefMid,Agrihan,NA,NA,NA,NA
5,AGR-0006,2009,MARIAN,Agrihan,5/2/09,Forereef,Mid,18.75735,145.64033,1965,0,nSPC,Agrihan,0,0,HAPHAZARD,2009,ForereefMid,Agrihan,NA,NA,NA,NA
6,AGR-0007,2009,MARIAN,Agrihan,5/3/09,Forereef,Mid,18.79776626,145.6876593,1972,0,nSPC,Agrihan,0,0,RANDOM,2009,ForereefMid,Agrihan,NA,NA,NA,NA
7,AGR-0050,2009,MARIAN,Agrihan,5/2/09,Forereef,Deep,18.77181849,145.7001984,1966,0,nSPC,Agrihan,0,0,RANDOM,2009,ForereefDeep,Agrihan,NA,NA,NA,NA
8,AGR-0051,2009,MARIAN,Agrihan,5/2/09,Forereef,Deep,18.72523639,145.6697475,1967,0,nSPC,Agrihan,0,0,RANDOM,2009,ForereefDeep,Agrihan,NA,NA,NA,NA
9,AGR-0052,2009,MARIAN,Agrihan,5/2/09,Forereef,Shallow,18.76066997,145.6394618,1968,0,nSPC,Agrihan,0,0,RANDOM,2009,ForereefShallow,Agrihan,NA,NA,NA,NA
10,AGR-0053,2009,MARIAN,Agrihan,5/2/09,Forereef,Shallow,18.77041871,145.6382,1969,0,nSPC,Agrihan,0,0,RANDOM,2009,ForereefShallow,Agrihan,NA,NA,NA,NA
11,AGR-0054,2009,MARIAN,Agrihan,5/3/09,Forereef,Deep,18.81122164,145.6767676,1973,0,nSPC,Agrihan,0,0,RANDOM,2009,ForereefDeep,Agrihan,NA,NA,NA,NA
12,AGR-0055,2009,MARIAN,Agrihan,5/3/09,Forereef,Shallow,18.80298316,145.6484187,1974,0,nSPC,Agrihan,0,0,RANDOM,2009,ForereefShallow,Agrihan,NA,NA,NA,NA
13,AGR-0056,2009,MARIAN,Agrihan,5/3/09,Forereef,Shallow,18.77903237,145.6370976,1975,0,nSPC,Agrihan,0,0,RANDOM,2009,ForereefShallow,Agrihan,NA,NA,NA,NA
14,AGR-0057,2009,MARIAN,Agrihan,5/3/09,Forereef,Deep,18.776711,145.6347193,1976,0,nSPC,Agrihan,0,0,RANDOM,2009,ForereefDeep,Agrihan,NA,NA,NA,NA
15,AGR-0061,2011,MARIAN,Agrihan,4/21/11,Forereef,Deep,18.78958267,145.698549,3660,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefDeep,Agrihan,NA,NA,NA,NA
16,AGR-0079,2011,MARIAN,Agrihan,4/21/11,Forereef,Deep,18.7629941,145.7023805,3653,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefDeep,Agrihan,NA,NA,NA,NA
17,AGR-0084,2011,MARIAN,Agrihan,4/22/11,Forereef,Deep,18.788402,145.6392749,3671,0,nSPC,Agrihan,0,0,RANDOM,2011,ForereefDeep,Agrihan,NA,NA,NA,NA
